The user wants me to extract structured information from the provided text of a scientific paper about "Fe-8Mn-6Al-0.2C low density steel".
I need to output a single valid JSON object following a specific schema provided in the prompt.
The schema includes keys like `papers`, `alloys`, `processes`, `samples`, `processing_steps`, `structures`, `interfaces`, `properties`, `performance`, `characterization_methods`, `computational_details`, and `unmapped_findings`.
I must strictly follow type constraints: no numbers or booleans as leaf values; all numbers must be strings.
I must not output any markdown, explanations, or text outside the JSON object.

**Plan:**
1.  **Parse the Paper Info**: Extract title, authors, journal (implied or missing), year (implied or missing), keywords, research type (experimental), scope.
  "alloys": [
    {
      "alloy_id": "alloy_fe8mn6al02c",
      "paper_id": "paper_001",
      "alloy_name": "Fe-8Mn-6Al-0.2C low density steel",
      "aliases": [
        "Fe-Mn-Al-C steel",
        "medium Mn medium Al Fe-Mn-Al-C steel"
      ],
      "base_element": "Fe",
      "alloying_elements": [
        "Mn",
        "Al",
        "C"
      ],
      "nominal_composition": [
        {
          "element": "Fe",
          "weight_percent": null,
          "atomic_percent": null
        },
        {
          "element": "Mn",
          "weight_percent": "8",
          "atomic_percent": null
        },
        {
          "element": "Al",
          "weight_percent": "6",
          "atomic_percent": null
        },
        {
          "element": "C",
          "weight_percent": "0.2",
          "atomic_percent": null
        }
      ],
      "alloys_notes": "Density is about 6.95 g/cm3, 11% lower than pure iron."
    }
  ],
  "processes": [
    {
      "process_id": "proc_casting",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "description": "Casting using vacuum induction furnace at 1150 C for 2 h, followed by hot forging.",
      "processes_notes": null
    },
    {
      "process_id": "proc_homogenization",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "description": "Homogenization at 1200 C for 2 h.",
      "processes_notes": null
    },
    {
      "process_id": "proc_rolling",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "description": "Hot rolled to 3 mm thickness steel sheet through 6 passes, start rolling temperature 1150 C, finish rolling temperature 850 C, water quenched to 550 C, followed by air cooling.",
      "processes_notes": null
    },
    {
      "process_id": "proc_sol_700",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "description": "Solution treatment at 700 C for 1 h, followed by water quenching.",
      "processes_notes": "Specimen referred to as H70."
    },
    {
      "process_id": "proc_sol_800",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "description": "Solution treatment at 800 C for 1 h, followed by water quenching.",
      "processes_notes": "Specimen referred to as H80."
    },
    {
      "process_id": "proc_sol_900",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "description": "Solution treatment at 900 C for 1 h, followed by water quenching.",
      "processes_notes": "Specimen referred to as H90."
    },
    {
      "process_id": "proc_sol_1000",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "description": "Solution treatment at 1000 C for 1 h, followed by water quenching.",
      "processes_notes": "Specimen referred to as H100."
    }
  ],
  "samples": [
    {
      "sample_id": "sample_h70",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "process_id": "proc_sol_700"
    },
    {
      "sample_id": "sample_h80",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "process_id": "proc_sol_800"
    },
    {
      "sample_id": "sample_h90",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "process_id": "proc_sol_900"
    },
    {
      "sample_id": "sample_h100",
      "paper_id": "paper_001",
      "alloy_id": "alloy_fe8mn6al02c",
      "process_id": "proc_sol_1000"
    }
  ],
  "processing_steps": [
    {
      "sample_id": "sample_h70",
      "paper_id": "paper_001",
      "sequence": "step_casting",
      "type": "casting",
      "method": "vacuum induction furnace",
      "temperature": "1150 C",
      "unit": "C",
      "duration": "2 h",
      "cooling_medium": null,
      "reduction_ratio": null,
      "processing_steps_notes": "Heated then hot forged to rods."
    },
    {
      "sample_id": "sample_h70",
      "paper_id": "paper_001",
      "sequence": "step_homogenization",
      "type": "heat_treatment",
      "method": "homogenization",
      "temperature": "1200 C",
      "unit": "C",
      "duration": "2 h",
      "cooling_medium": null,
      "reduction_ratio": null,
      "processing_steps_notes": null
    },
    {
      "sample_id": "sample_h70",
      "paper_id": "paper_001",
      "sequence": "step_rolling",
      "type": "thermomechanical_processing",
      "method": "hot rolling",
      "temperature": "1150 C start, 850 C finish",
      "unit": "C",
      "duration": null,
      "cooling_medium": "water quench to 550 C, air cooling",
      "reduction_ratio": null,
      "processing_steps_notes": "6 passes to 3 mm thickness."
    },
    {
      "sample_id": "sample_h70",
      "paper_id": "paper_001",
      "sequence": "step_solution",
      "type": "heat_treatment",
      "method": "solution treatment",
      "temperature": "700 C",
      "unit": "C",
      "duration": "1 h",
      "cooling_medium": "water quenching",
      "reduction_ratio": null,
      "processing_steps_notes": null
    },
    {
      "sample_id": "sample_h80",
      "paper_id": "paper_001",
      "sequence": "step_solution",
      "type": "heat_treatment",
      "method": "solution treatment",
      "temperature": "800 C",
      "unit": "C",
      "duration": "1 h",
      "cooling_medium": "water quenching",
      "reduction_ratio": null,
      "processing_steps_notes": null
    },
    {
      "sample_id": "sample_h90",
      "paper_id": "paper_001",
      "sequence": "step_solution",
      "type": "heat_treatment",
      "method": "solution treatment",
      "temperature": "900 C",
      "unit": "C",
      "duration": "1 h",
      "cooling_medium": "water quenching",
      "reduction_ratio": null,
      "processing_steps_notes": null
    },
    {
      "sample_id": "sample_h100",
      "paper_id": "paper_001",
      "sequence": "step_solution",
      "type": "heat_treatment",
      "method": "solution treatment",
      "temperature": "1000 C",
      "unit": "C",
      "duration": "1 h",
      "cooling_medium": "water quenching",
      "reduction_ratio": null,
      "processing_steps_notes": null
    }
  ],
  "structures": [
    {
      "structure_id": "struct_h70",
      "sample_id": "sample_h70",
      "overall_structure": "Duplex microstructure of ferrite and martensite with M5C2 carbide.",
      "number_of_phases": 3,
      "microstructure_counts": null,
      "microstructure_list": [
        {
          "uuid": "uuid_h70_1",
          "related_sequence": "step_solution",
          "phases_present": [
            {
              "phase_name": "Ferrite",
              "crystal_structure": null,
              "volume_fraction": null,
              "morphology": null,
              "grain_size": null,
              "texture": null
            },
            {
              "phase_name": "Martensite",
              "crystal_structure": null,
              "volume_fraction": null,
              "morphology": null,
              "grain_size": null,
              "texture": null
            },
            {
              "phase_name": "M5C2-carbide",
              "crystal_structure": null,
              "volume_fraction": "12.2%",
              "morphology": "spheroidal",
              "grain_size": null,
              "texture": null
            }
          ],
          "defects": [
            {
              "type": "carbide",
              "porosity": null,
              "inclusions": [],
              "dislocation_density": null,
              "lattice_distortion": null
            }
          ],
          "grain_structure": {
            "average_grain_size": {
              "value": null,
              "unit": null
            },
            "grain_size_distribution": null,
            "texture": null
          },
          "precipitates": [
            {
              "precipitate_id": null,
              "type": "M5C2-carbide",
              "size": {
                "value": null,
                "unit": null
              },
              "distribution": "widely distributed at delta-ferrite grain boundaries and among martensite laths",
              "coherency": null
            }
          ]
        }
      ]
    },
    {
      "structure_id": "struct_h80",
      "sample_id": "sample_h80",
      "overall_structure": "Duplex microstructure of strip ferrite and austenite.",
      "number_of_phases": 2,
      "microstructure_counts": null,
      "microstructure_list": [
        {
          "uuid": "uuid_h80_1",
          "related_sequence": "step_solution",
          "phases_present": [
            {
              "phase_name": "Ferrite",
              "crystal_structure": null,
              "volume_fraction": null,
              "morphology": "strip",
              "grain_size": null,
              "texture": null
            },
            {
              "phase_name": "Austenite",
              "crystal_structure": null,
              "volume_fraction": "20.7%",
              "morphology": null,
              "grain_size": null,
              "texture": null
            }
          ],
          "defects": [],
          "grain_structure": {
            "average_grain_size": {
              "value": null,
              "unit": null
            },
            "grain_size_distribution": null,
            "texture": null
          },
          "precipitates": []
        }
      ]
    },
    {
      "structure_id": "struct_h90",
      "sample_id": "sample_h90",
      "overall_structure": "Duplex microstructure of alpha-ferrite, delta-ferrite and austenite.",
      "number_of_phases": 3,
      "microstructure_counts": null,
      "microstructure_list": [
        {
          "uuid": "uuid_h90_1",
          "related_sequence": "step_solution",
          "phases_present": [
            {
              "phase_name": "Ferrite",
              "crystal_structure": null,
              "volume_fraction": null,
              "morphology": "fine blocky",
              "grain_size": null,
              "texture": null
            },
            {
              "phase_name": "Austenite",
              "crystal_structure": null,
              "volume_fraction": "33.8%",
              "morphology": "blocky and lath-like",
              "grain_size": null,
              "texture": null
            }
          ],
          "defects": [
            {
              "type": "small angle grain boundaries",
              "porosity": null,
              "inclusions": [],
              "dislocation_density": "high",
              "lattice_distortion": null
            }
          ],
          "grain_structure": {
            "average_grain_size": {
              "value": null,
              "unit": null
            },
            "grain_size_distribution": null,
            "texture": null
          },
          "precipitates": []
        }
      ]
    },
    {
      "structure_id": "struct_h100",
      "sample_id": "sample_h100",
      "overall_structure": "Microstructure with martensite and retained austenite.",
      "number_of_phases": 2,
      "microstructure_counts": null,
      "microstructure_list": [
        {
          "uuid": "uuid_h100_1",
          "related_sequence": "step_solution",
          "phases_present": [
            {
              "phase_name": "Martensite",
              "crystal_structure": null,
              "volume_fraction": null,
              "morphology": null,
              "grain_size": null,
              "texture": null
            },
            {
              "phase_name": "Austenite",
              "crystal_structure": null,
              "volume_fraction": "12.9%",
              "morphology": null,
              "grain_size": null,
              "texture": null
            }
          ],
          "defects": [],
          "grain_structure": {
            "average_grain_size": {
              "value": null,
              "unit": null
            },
            "grain_size_distribution": null,
            "texture": null
          },
          "precipitates": []
        }
      ]
    }
  ],
  "interfaces": [
    {
      "interface_set_id": "interface_h90",
      "sample_id": "sample_h90",
      "phases": [
        {
          "interface_id": "iface_h90_1",
          "microstructure_uuid": "uuid_h90_1",
          "phase_1_name": "Ferrite",
          "phase_2_name": "Austenite",
          "coherence": null
        }
      ],
      "defect_interaction": [
        {
          "interaction_id": "defect_h90_1",
          "microstructure_uuid": "uuid_h90_1",
          "interaction_type": "dislocation accumulation",
          "quality_description": "High density dislocation in ferrite and martensite contributed to mechanical property."
        }
      ],
      "interface_notes": [
        {
          "stress_strain_distribution": null
        },
        {
          "slippage_situation": null
        }
      ],
      "phase_evolution": "During tensile test, blocky austenite at ferrite triple edges transformed to martensite first, while lath-like austenite between ferrite laths underwent rotations."
    }
  ],
  "properties": [
    {
      "property_set_id": "prop_h70",
      "sample_id": "sample_h70",
      "mechanical": {
        "tensile_properties": {
          "yield_strength": [
            {
              "direction": null,
              "value": null,
              "unit": null
            }
          ],
          "ultimate_tensile_strength": [
            {
              "direction": null,
              "value": "778.3",
              "unit": "MPa",
              "others": {
                "uncertainty": null
              }
            }
          ],
          "elongation": [
            {
              "direction": null,
              "value": "23",
              "unit": "%"
            }
          ],
          "youngs_modulus": null,
          "stress_strain_curves": null,
          "stress_strain_distribution": null,
          "strain_hardening_rate": null
        },
        "hardness": null,
        "fracture_toughness": null,
        "fatigue_properties": null,
        "creep_properties": null
      },
      "physical": null,
      "chemical": null,
      "radiation_properties": null
    },
    {
      "property_set_id": "prop_h80",
      "sample_id": "sample_h80",
      "mechanical": {
        "tensile_properties": {
          "yield_strength": [
            {
              "direction": null,
              "value": null,
              "unit": null
            }
          ],
          "ultimate_tensile_strength": [
            {
              "direction": null,
              "value": null,
              "unit": "MPa",
              "others": {
                "uncertainty": null
              }
            }
          ],
          "elongation": [
            {
              "direction": null,
              "value": null,
              "unit": "%"
            }
          ],
          "youngs_modulus": null,
          "stress_strain_curves": null,
          "stress_strain_distribution": null,
          "strain_hardening_rate": null
        },
        "hardness": null,
        "fracture_toughness": null,
        "fatigue_properties": null,
        "creep_properties": null
      },
      "physical": null,
      "chemical": null,
      "radiation_properties": null
    },
    {
      "property_set_id": "prop_h90",
      "sample_id": "sample_h90",
      "mechanical": {
        "tensile_properties": {
          "yield_strength": [
            {
              "direction": null,
              "value": "473.6",
              "unit": "MPa"
            }
          ],
          "ultimate_tensile_strength": [
            {
              "direction": null,
              "value": "846.4",
              "unit": "MPa",
              "others": {
                "uncertainty": null
              }
            }
          ],
          "elongation": [
            {
              "direction": null,
              "value": "32",
              "unit": "%"
            }
          ],
          "youngs_modulus": null,
          "stress_strain_curves": null,
          "stress_strain_distribution": null,
          "strain_hardening_rate": null
        },
        "hardness": null,
        "fracture_toughness": null,
        "fatigue_properties": null,
        "creep_properties": null
      },
      "physical": {
        "density": {
          "value": "6.95",
          "unit": "g/cm3"
        },
        "thermal_properties": null,
        "electrical_properties": null,
        "magnetic_properties": null
      },
      "chemical": null,
      "radiation_properties": null
    },
    {
      "property_set_id": "prop_h100",
      "sample_id": "sample_h100",
      "mechanical": {
        "tensile_properties": {
          "yield_strength": [
            {
              "direction": null,
              "value": null,
              "unit": null
            }
          ],
          "ultimate_tensile_strength": [
            {
              "direction": null,
              "value": "860.3",
              "unit": "MPa",
              "others": {
                "uncertainty": null
              }
            }
          ],
          "elongation": [
            {
              "direction": null,
              "value": "15",
              "unit": "%"
            }
          ],
          "youngs_modulus": null,
          "stress_strain_curves": null,
          "stress_strain_distribution": null,
          "strain_hardening_rate": null
        },
        "hardness": null,
        "fracture_toughness": null,
        "fatigue_properties": null,
        "creep_properties": null
      },
      "physical": null,
      "chemical": null,
      "radiation_properties": null
    }
  ],
  "performance": [
    {
      "performance_id": "perf_h90",
      "sample_id": "sample_h90",
      "service_conditions": {
        "operating_temperature": {
          "min": null,
          "max": null,
          "unit": null
        },
        "stress_state": null,
        "environment": null
      },
      "lifetime_prediction": null,
      "comparative_performance": null
    }
  ],
  "characterization_methods": [
    {
      "characterization_id": "char_sem",
      "sample_id": "sample_h70",
      "microstructure_uuid": "uuid_h70_1",
      "technique": "Scanning Electron Microscopy (SEM)",
      "purpose": "Microstructure analysis",
      "key_findings": "Observation of ferrite, martensite and carbide distribution."
    },
    {
      "characterization_id": "char_tem",
      "sample_id": "sample_h70",
      "microstructure_uuid": "uuid_h70_1",
      "technique": "Transmission Electron Microscopy (TEM)",
      "purpose": "Microstructure analysis near fracture area",
      "key_findings": "High density dislocation in ferrite and martensite."
    },
    {
      "characterization_id": "char_ebsd",
      "sample_id": "sample_h90",
      "microstructure_uuid": "uuid_h90_1",
      "technique": "Electron Back-Scatter Diffraction (EBSD)",
      "purpose": "Phase distribution and grain orientation analysis under deformation",
      "key_findings": "Measurement of austenite volume fraction and Schmid factors."
    },
    {
      "characterization_id": "char_xrd",
      "sample_id": "sample_h90",
      "microstructure_uuid": null,
      "technique": "X-ray Diffraction (XRD)",
      "purpose": "Determination of austenite volume fraction and lattice parameter",
      "key_findings": "Austenite volume fraction determined by integrated intensities of peaks."
    },
    {
      "characterization_id": "char_eds",
      "sample_id": "sample_h70",
      "microstructure_uuid": null,
      "technique": "Energy Dispersive Spectrometer (EDS)",
      "purpose": "Element distribution investigation",
      "key_findings": "Identification of M5C2-carbide."
    }
  ],
  "computational_details": [],
  "unmapped_findings": [
    "Table 1 Chemical composition details are referenced but not fully listed in the text body.",
    "Figure 1 SEM micrographs for H70, H80, H90, H100 are referenced but images are not provided.",
    "Figure 2 True stress-strain curves are referenced but images are not provided.",
    "Figure 3 Band contrast maps under different true strains are referenced but images are not provided.",
    "Figure 4 Schmid factor maps under different true strains are referenced but images are not provided.",
    "Figure 5 Fracture morphology and TEM microsgraphs are referenced but images are not provided.",
    "Figure 6 Schematic illustration of martensitic transformation is referenced but image is not provided.",
    "Figure 7 XRD profiles and austenite fractions are referenced but images are not provided.",
    "Table 2 Vickers microhardness values are referenced but not explicitly listed in text.",
    "Table 3 Tensile properties and volume fraction of austenite are referenced but values extracted from text descriptions.",
    "Table 4 Elements fraction and Ms, Md30 temperature are referenced but values extracted from text descriptions."
  ]
}
